,precision,recall,f1-score,support
casmerodius_albus,0.0,0.0,0.0,1.0
cathartes_aura,0.5,1.0,0.6666666666666666,1.0
centropus_senegalensis,0.42857142857142855,0.75,0.5454545454545454,4.0
cercotrichas_galactotes,0.18181818181818182,1.0,0.3076923076923077,2.0
certhia_brachydactyla,0.05263157894736842,0.1111111111111111,0.07142857142857142,9.0
certhia_familiaris,1.0,1.0,1.0,4.0
ceryle_rudis,0.75,0.75,0.75,4.0
chaimarrornis_leucocephalus,1.0,0.25,0.4,4.0
charadrius_alexandrinus,0.6,0.42857142857142855,0.5,7.0
charadrius_dubius,1.0,0.64,0.7804878048780488,25.0
charadrius_hiaticula,0.7142857142857143,0.22727272727272727,0.3448275862068966,22.0
chenonetta_jubata,0.6,0.5294117647058824,0.5625,51.0
chlidonias_leucopterus,1.0,0.5,0.6666666666666666,2.0
chlidonias_niger,1.0,0.8333333333333334,0.9090909090909091,6.0
chloebia_gouldiae,1.0,1.0,1.0,5.0
chloris_chloris,0.9375,0.2830188679245283,0.43478260869565216,53.0
chloris_monguilloti,1.0,0.75,0.8571428571428571,4.0
chlorostilbon_mellisugus,0.75,0.6,0.6666666666666666,5.0
chordeiles_minor,0.75,0.7058823529411765,0.7272727272727273,17.0
chroicocephalus_ridibundus,1.0,0.5,0.6666666666666666,16.0
ciconia_abdimii,0.7142857142857143,0.9090909090909091,0.8,11.0
ciconia_boyciana,1.0,1.0,1.0,1.0
ciconia_ciconia,0.6451612903225806,1.0,0.7843137254901961,20.0
ciconia_episcopus,0.375,1.0,0.5454545454545454,3.0
ciconia_maguari,1.0,1.0,1.0,1.0
ciconia_nigra,0.6086956521739131,0.9333333333333333,0.7368421052631579,15.0
cinclus_cinclus,0.18181818181818182,0.5,0.26666666666666666,4.0
cinnyris_osea,0.10344827586206896,1.0,0.1875,3.0
circaetus_gallicus,0.3023255813953488,0.8666666666666667,0.4482758620689655,15.0
circus_aeruginosus,0.7894736842105263,0.6,0.6818181818181818,25.0
circus_approximans,0.75,0.75,0.75,4.0
circus_cyaneus,0.6388888888888888,0.42592592592592593,0.5111111111111111,54.0
circus_macrourus,1.0,1.0,1.0,1.0
circus_pygargus,0.8571428571428571,0.46153846153846156,0.6,13.0
cissa_chinensis,1.0,1.0,1.0,2.0
clamator_glandarius,0.0,0.0,0.0,1.0
clangula_hyemalis,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
coccothraustes_coccothraustes,0.6666666666666666,0.5,0.5714285714285714,4.0
coeligena_violifer,1.0,0.6666666666666666,0.8,6.0
colaptes_auratus,0.9166666666666666,0.8461538461538461,0.88,13.0
colius_striatus,1.0,1.0,1.0,2.0
columba_arquatrix,0.5555555555555556,1.0,0.7142857142857143,5.0
columba_leuconota,0.5,1.0,0.6666666666666666,1.0
columba_livia,1.0,0.8,0.8888888888888888,10.0
columba_oenas,0.9090909090909091,1.0,0.9523809523809523,10.0
columba_palumbus,0.8125,1.0,0.896551724137931,13.0
columba_rupestris,1.0,0.5,0.6666666666666666,2.0
contopus_cooperi,1.0,0.2,0.3333333333333333,5.0
copsychus_malabaricus,0.0,0.0,0.0,3.0
coracias_cyanogaster,0.9411764705882353,1.0,0.9696969696969697,16.0
coracias_naevius,1.0,0.4,0.5714285714285714,5.0
coracina_novaehollandiae,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
corvus_corone,1.0,0.6,0.75,5.0
corvus_dauuricus,1.0,0.5,0.6666666666666666,2.0
corvus_frugilegus,0.391304347826087,1.0,0.5625,18.0
corvus_monedula,0.5,0.5,0.5,6.0
corvus_splendens,0.75,0.75,0.75,4.0
corythornis_cristatus,1.0,1.0,1.0,3.0
cossypha_albicapillus,0.4,0.2,0.26666666666666666,10.0
crax_rubra,0.0,0.0,0.0,1.0
crex_crex,0.8333333333333334,0.8333333333333334,0.8333333333333334,18.0
crossoptilon_crossoptilon,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
crossoptilon_mantchuricum,0.5,0.3333333333333333,0.4,6.0
crypsirina_temia,0.42857142857142855,1.0,0.6,3.0
cuculus_canorus,0.5,0.6190476190476191,0.5531914893617021,21.0
cuculus_fugax,0.0,0.0,0.0,1.0
curruca_hortensis,1.0,0.8,0.8888888888888888,5.0
